2.1166875000,2.1320625000,2.6733750000,2.6081250000,2.5963125000,2.8678125000,2.7506250000,2.6893125000,2.6574375000,2.6889375000,2.6491875000,2.6731875000,2.6604375000,2.6568750000,2.6703750000,2.7686250000,2.7234375000,2.6947500000,2.6570625000
2.1294375000,2.1504375000,2.6793750000,2.6268750000,2.5963125000,2.8781250000,2.7500625000,2.6955000000,2.6641875000,2.6891250000,2.6550000000,2.6803125000,2.6668125000,2.6568750000,2.6769375000,2.7690000000,2.7335625000,2.6962500000,2.6636250000
2.1298125000,2.1540000000,2.6799375000,2.6261250000,2.5959375000,2.8560000000,2.7519375000,2.6951250000,2.6638125000,2.6891250000,2.6553750000,2.6793750000,2.6664375000,2.6565000000,2.6767500000,2.7680625000,2.7330000000,2.6960625000,2.6632500000
2.1288750000,2.1541875000,2.6737500000,2.6251875000,2.5953750000,2.8603125000,2.7538125000,2.6955000000,2.6632500000,2.6887500000,2.6550000000,2.6790000000,2.6662500000,2.6561250000,2.6767500000,2.7684375000,2.7348750000,2.6956875000,2.6630625000
2.1286875000,2.1549375000,2.6793750000,2.6250000000,2.5951875000,2.8573125000,2.7541875000,2.6953125000,2.6628750000,2.6883750000,2.6540625000,2.6788125000,2.6656875000,2.6557500000,2.6761875000,2.7680625000,2.7373125000,2.6955000000,2.6628750000
2.1286875000,2.1545625000,2.6797500000,2.6242500000,2.5946250000,2.8590000000,2.7511875000,2.6951250000,2.6621250000,2.6880000000,2.6538750000,2.6790000000,2.6655000000,2.6553750000,2.6760000000,2.7678750000,2.7397500000,2.6949375000,2.6625000000
2.1283125000,2.1555000000,2.6769375000,2.6229375000,2.5944375000,2.8601250000,2.7470625000,2.6943750000,2.6610000000,2.6874375000,2.6538750000,2.6782500000,2.6651250000,2.6550000000,2.6791875000,2.7673125000,2.7390000000,2.6947500000,2.6621250000
2.1288750000,2.1541875000,2.6797500000,2.6233125000,2.5935000000,2.8571250000,2.7498750000,2.6934375000,2.6613750000,2.6863125000,2.6527500000,2.6780625000,2.6645625000,2.6546250000,2.6750625000,2.7675000000,2.7427500000,2.6945625000,2.6619375000
2.1281250000,2.1541875000,2.6801250000,2.6225625000,2.5966875000,2.8554375000,2.7463125000,2.6936250000,2.6608125000,2.6866875000,2.6521875000,2.6782500000,2.6641875000,2.6510625000,2.6748750000,2.7671250000,2.7412500000,2.6941875000,2.6615625000
2.1283125000,2.1555000000,2.6739375000,2.6210625000,2.5933125000,2.8565625000,2.7459375000,2.6926875000,2.6602500000,2.6857500000,2.6514375000,2.6773125000,2.6636250000,2.6538750000,2.6743125000,2.7661875000,2.7427500000,2.6936250000,2.6611875000
