0.1100232601,2.6889375000,320.0000000000,80.0000000000
0.2094862461,2.6891250000,320.0000000000,80.0000000000
0.3094053268,2.6891250000,320.0000000000,80.0000000000
0.4093985558,2.6887500000,320.0000000000,80.0000000000
0.5094418526,2.6883750000,320.0000000000,80.0000000000
0.6094465256,2.6880000000,320.0000000000,80.0000000000
0.7094664574,2.6874375000,320.0000000000,80.0000000000
0.8094277382,2.6863125000,320.0000000000,80.0000000000
0.9094295502,2.6866875000,320.0000000000,80.0000000000
1.0094575882,2.6857500000,320.0000000000,80.0000000000
1.1094555855,2.6855625000,320.0000000000,80.0000000000
1.2094523907,2.6855625000,320.0000000000,80.0000000000
1.3094208241,2.6851875000,320.0000000000,80.0000000000
1.4094228745,2.6838750000,320.0000000000,80.0000000000
1.5094530582,2.6844375000,320.0000000000,80.0000000000
1.6094522476,2.6838750000,320.0000000000,80.0000000000
1.7094154358,2.6829375000,320.0000000000,80.0000000000
1.8094599247,2.6831250000,320.0000000000,80.0000000000
1.9094524384,2.6812500000,320.0000000000,80.0000000000
2.0096182823,2.6812500000,320.0000000000,80.0000000000
2.1094346046,2.6806875000,320.0000000000,80.0000000000
2.2094559669,2.6810625000,320.0000000000,80.0000000000
2.3096041679,2.6806875000,320.0000000000,80.0000000000
2.4096112251,2.6805000000,320.0000000000,80.0000000000
2.5094621181,2.6801250000,320.0000000000,80.0000000000
2.6094527245,2.6791875000,320.0000000000,80.0000000000
2.7094650269,2.6795625000,320.0000000000,80.0000000000
2.8094668388,2.6799375000,320.0000000000,80.0000000000
2.9094407558,2.6790000000,320.0000000000,80.0000000000
3.0094118118,2.6790000000,320.0000000000,80.0000000000
3.1094107628,2.6791875000,320.0000000000,80.0000000000
3.2094268799,2.6786250000,320.0000000000,80.0000000000
3.3094134331,2.6784375000,320.0000000000,80.0000000000
3.4094195366,2.6780625000,320.0000000000,80.0000000000
3.5094552040,2.6778750000,320.0000000000,80.0000000000
3.6094341278,2.6775000000,320.0000000000,80.0000000000
3.7094242573,2.6773125000,320.0000000000,80.0000000000
3.8094174862,2.6769375000,320.0000000000,80.0000000000
3.9096505642,2.6765625000,320.0000000000,80.0000000000
4.0094113350,2.6763750000,320.0000000000,80.0000000000
4.1095752716,2.6760000000,320.0000000000,80.0000000000
4.2094144821,2.6760000000,320.0000000000,80.0000000000
4.3095791340,2.6758125000,320.0000000000,80.0000000000
4.4094197750,2.6748750000,320.0000000000,80.0000000000
4.5095214844,2.6752500000,320.0000000000,80.0000000000
4.6093890667,2.6750625000,320.0000000000,80.0000000000
4.7094161510,2.6745000000,320.0000000000,80.0000000000
4.8095042706,2.6745000000,320.0000000000,80.0000000000
4.9094159603,2.6741250000,320.0000000000,80.0000000000
6.5229580402,2.6696250000,320.0000000000,80.0000000000
6.5326535702,2.6735625000,320.0000000000,80.0000000000
6.5422112942,2.6733750000,320.0000000000,80.0000000000
6.5518593788,2.6726250000,320.0000000000,80.0000000000
6.5613832474,2.6739375000,320.0000000000,80.0000000000
6.5712881088,2.6739375000,320.0000000000,80.0000000000
6.5808253288,2.6741250000,320.0000000000,80.0000000000
6.5903396606,2.6739375000,320.0000000000,80.0000000000
6.6000130177,2.6733750000,320.0000000000,80.0000000000
6.6096808910,2.6737500000,320.0000000000,80.0000000000
6.6192283630,2.6735625000,320.0000000000,80.0000000000
6.6287271976,2.6739375000,320.0000000000,80.0000000000
6.6383135319,2.6731875000,320.0000000000,80.0000000000
6.6479763985,2.6731875000,320.0000000000,80.0000000000
6.6575963497,2.6733750000,320.0000000000,80.0000000000
6.6670999527,2.6743125000,320.0000000000,80.0000000000
6.6766405106,2.6733750000,320.0000000000,80.0000000000
6.7098376751,2.6741250000,320.0000000000,80.0000000000
6.8094694614,2.6709375000,320.0000000000,80.0000000000
6.9094219208,2.6709375000,320.0000000000,80.0000000000
7.0094254017,2.6724375000,320.0000000000,80.0000000000
7.1094403267,2.6737500000,320.0000000000,80.0000000000
7.2094359398,2.6733750000,320.0000000000,80.0000000000
7.3094289303,2.6752500000,320.0000000000,80.0000000000
7.4094321728,2.6775000000,320.0000000000,80.0000000000
7.5094399452,2.6805000000,320.0000000000,80.0000000000
7.6094567776,2.6842500000,320.0000000000,80.0000000000
7.7094547749,2.6876250000,320.0000000000,80.0000000000
7.8096227646,2.6921250000,320.0000000000,80.0000000000
7.9094517231,2.6970000000,320.0000000000,80.0000000000
8.0094504356,2.7016875000,320.0000000000,80.0000000000
8.1094698906,2.7093750000,320.0000000000,80.0000000000
8.2094700336,2.7151875000,320.0000000000,80.0000000000
8.3094279766,2.7228750000,320.0000000000,80.0000000000
8.4095630646,2.7305625000,320.0000000000,80.0000000000
8.5094158649,2.7388125000,320.0000000000,80.0000000000
8.6094262600,2.7474375000,320.0000000000,80.0000000000
8.7095708847,2.7568125000,320.0000000000,80.0000000000
8.8095655441,2.7665625000,320.0000000000,80.0000000000
8.9094288349,2.7768750000,320.0000000000,80.0000000000
9.0094175339,2.7875625000,320.0000000000,80.0000000000
9.1094150543,2.7986250000,320.0000000000,80.0000000000
9.2094120979,2.8091250000,320.0000000000,80.0000000000
9.3094234467,2.8216875000,320.0000000000,80.0000000000
9.4094185829,2.8338750000,320.0000000000,80.0000000000
9.5097806454,2.8458750000,320.0000000000,80.0000000000
9.6094293594,2.8588125000,320.0000000000,80.0000000000
9.7094154358,2.8710000000,320.0000000000,80.0000000000
9.8094325066,2.8845000000,320.0000000000,80.0000000000
9.9094154835,2.8976250000,320.0000000000,80.0000000000
10.0094103813,2.9107500000,320.0000000000,80.0000000000
