0.1281192303,0.46875,0.54225,4.824,0,m,813,525,1034,676,1984,2857,833,2657,2448,2164,1316,2570,1346,225,151,553,357,1395,2797,2281,2637,2056,2707,2155,2917,1162,2532,1348,1573,811,,,,,,,,,,,,,,,,,,
0.227489233,0.46875,0.544125,4.8241875,0,e,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3274188042,0.46875,0.5454375,4.8241875,1,m,804.87,519.75,1023.66,669.24,1964.16,2828.43,824.67,2630.43,2423.52,2142.36,1302.84,2544.3,1332.54,222.75,149.49,547.47,353.43,1381.05,2769.03,2258.19,2610.63,2035.44,2679.93,2133.45,2887.83,1150.38,2506.68,1334.52,1557.27,802.89,,,,,,,,,,,,,,,,,,
0.4274430275,0.469125,0.54525,4.820625,1,e,8.13,5.25,10.34,6.76,19.84,28.57,8.33,26.57,24.48,21.64,13.16,25.7,13.46,2.25,1.51,5.53,3.57,13.95,27.97,22.81,26.37,20.56,27.07,21.55,29.17,11.62,25.32,13.48,15.73,8.11,0,0,,,,,,,,,,,,,,,,
0.5293691158,0.4685625,0.54525,4.8230625,3,m,788.61,509.25,1002.98,655.72,1924.48,2771.29,808.01,2577.29,2374.56,2099.08,1276.52,2492.9,1305.62,218.25,146.47,536.41,346.29,1353.15,2713.09,2212.57,2557.89,1994.32,2625.79,2090.35,2829.49,1127.14,2456.04,1307.56,1525.81,786.67,0,0,,,,,,,,,,,,,,,,
0.62768507,0.46875,0.54525,4.824375,3,e,24.39,15.75,31.02,20.28,59.52,85.71,24.99,79.71,73.44,64.92,39.48,77.1,40.38,6.75,4.53,16.59,10.71,41.85,83.91,68.43,79.11,61.68,81.21,64.65,87.51,34.86,75.96,40.44,47.19,24.33,0,0,,,,,,,,,,,,,,,,
0.7276291847,0.4689375,0.5454375,4.8255,5,m,772.35,498.75,982.3,642.2,1884.8,2714.15,791.35,2524.15,2325.6,2055.8,1250.2,2441.5,1278.7,213.75,143.45,525.35,339.15,1325.25,2657.15,2166.95,2505.15,1953.2,2571.65,2047.25,2771.15,1103.9,2405.4,1280.6,1494.35,770.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.827599287,0.4693125,0.54525,4.8255,5,e,40.65,26.25,51.7,33.8,99.2,142.85,41.65,132.85,122.4,108.2,65.8,128.5,67.3,11.25,7.55,27.65,17.85,69.75,139.85,114.05,131.85,102.8,135.35,107.75,145.85,58.1,126.6,67.4,78.65,40.55,0,0,,,,,,,,,,,,,,,,
0.9275007248,0.469125,0.544125,4.8255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0315206051,0.4689375,0.5450625,4.8255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
